@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute 'time_of_day' {early_morning,morning,noon,afternoon,evening,night,post_midnight}
@attribute 'time_since_last' numeric
@attribute 'average_user_likes' numeric
@attribute 'likes' numeric 

@data
?,female,1179,0.65050416332,10,post_midnight,100,1.913,0
?,male,None,0.556337759031,8,early morning,70,8.542,0
21,female,484,0.754456454028,12,evening,113,8.73,0.69314718056
?,female,None,0.429898373641,10,night,66,10.0,2.3978952728
20,male,282,0.63387036122,1,early morning,912,2.267,0.0
18,female,506,0.633075781384,10,post_midnight,93,3.783,0
?,?,660,0.579215117456,7,evening,29,4.69,0.0
20,male,569,0.638254108102,5,evening,26,2.67,0.0
?,female,879,0.874412204182,10,afternoon,133,8.333,2.7080502011
18,male,781,0.494850321851,11,evening,268,2.9,0.69314718056
20,male,257,0.757064348508,8,evening,60,3.46,2.07944154168
?,female,624,0.582451595356,6,afternoon,18,2.33,0.69314718056
?,male,1030,0.760083235394,2,post_midnight,45,4.48,0
21,female,289,0.405119649351,6,afternoon,161,1.546,0.0
?,male,1593,0.725377149952,4,post_midnight,1,6.58,1.60943791243
?,male,1903,0.6668319414,3,post_midnight,0,4.263,0
?,female,1237,0.530735761601,11,early morning,36,20.13,2.99573227355
?,male,None,0.594502165873,9,night,42,1.72,1.60943791243
?,male,852,0.561040982005,1,morning,609,4.43,2.07944154168
?,male,539,0.623680379043,2,evening,427,1.457,0.0
?,male,None,0.729658005669,5,post_midnight,47,1.72,2.07944154168
20,male,681,0.613833984691,7,early morning,70,2.629,0.0
21,female,289,0,12,post_midnight,29,1.546,0
?,female,781,0.490000105741,5,afternoon,50,8.57,1.60943791243
20,female,548,0.682674044247,9,early morning,533,3.806,2.19722457734
20,female,377,0.630169882401,10,evening,17,11.2,1.09861228867
20,female,377,0.621068937134,12,afternoon,158,11.2,2.07944154168
?,female,598,0.90673767363,11,post_midnight,13,13.624,0
?,male,1016,0.60814964046,3,post_midnight,0,9.576,2.3978952728
?,female,None,0.975601749815,8,early morning,76,4.582,1.09861228867
19,female,1401,3.45238095238,11,evening,49,13.747,1.09861228867
?,female,1228,0.867680438712,8,afternoon,880,6.82,3.4657359028
?,female,517,1.3546976292,4,early morning,133,1.873,1.38629436112
?,female,861,0.641739059559,5,early morning,2,15.03,1.09861228867
?,male,613,0.661875792647,9,afternoon,126,4.63,1.09861228867
?,female,323,0.814533622223,6,night,16,1.391,0
20,male,282,0.513155299448,6,evening,407,2.267,0
20,male,None,0.886187459244,4,evening,71,17.758,3.76120011569
?,male,586,0.66196825261,11,post_midnight,153,6.1,0.69314718056
?,male,1321,0.495923542193,7,post_midnight,2111,4.55,0
?,female,5000,0.613673923983,2,afternoon,30,24.488,3.4657359028
?,female,510,0.552173365604,8,evening,78,5.83,2.07944154168
20,female,372,0.621701128792,7,night,97,6.17,0.69314718056
?,male,625,0.632647842954,12,early morning,77,6.69,0.0
20,male,863,0.951338922313,11,afternoon,257,2.585,1.60943791243
23,male,247,0.588187098824,4,evening,60,2.85,0
?,female,702,0.579249291598,7,early morning,78,3.145,0.0
21,female,524,0.648054743527,12,early morning,1,3.276,0.0
?,female,642,0.645588563045,3,night,90,9.026,1.38629436112
?,male,601,0.948056017154,3,post_midnight,1056,13.08,3.55534806149
21,male,862,0,9,early morning,2,3.82,0.69314718056
20,male,246,0.488804989599,10,post_midnight,6,2.16,0.0
22,female,978,0.778058987456,2,afternoon,37,7.19,1.94591014906
?,male,731,0.757262064506,12,night,25,2.96,1.09861228867
?,female,582,0.743219247101,2,afternoon,42,1.82,0
26,female,538,0.621606803856,3,afternoon,38,2.47,0.0
21,male,2216,0.666362024196,4,evening,42,17.68,1.38629436112
20,female,1530,0.642632757885,1,early morning,50,6.1,0.0
20,male,257,0.634163405357,11,post_midnight,108,2.01,0.69314718056
?,female,1847,0.629946172762,3,night,20,11.83,1.94591014906
20,male,672,0.835674262993,6,morning,572,4.91,2.48490664979
?,female,560,0.716433274351,3,post_midnight,6,9.69,2.94443897917
?,female,642,0.552436083223,5,post_midnight,48,9.026,0
?,female,381,3.09286639502,3,night,380,6.1,3.17805383035
?,female,908,0.592962478359,5,post_midnight,2,7.596,2.30258509299
18,female,939,0.507002430484,9,post_midnight,4,4.065,1.38629436112
?,female,821,0.589640298874,1,evening,54,2.25,0
?,female,434,0.752386013928,10,evening,41,4.44,2.07944154168
23,male,679,0.666197637401,12,evening,45,5.61,2.19722457734
?,female,2220,0.801357146833,8,post_midnight,33,8.19,0.69314718056
20,male,492,0.313093884572,9,evening,44,6.18,0
20,male,492,0.395486568987,8,early morning,62,6.18,1.60943791243
?,male,607,0.488078485774,2,early morning,79,2.97,0
?,female,1004,1.1780928777,12,post_midnight,2916,2.741,1.38629436112
?,male,980,0.415984222317,1,night,102,5.3,0.0
20,male,848,0.972409886924,1,post_midnight,42,2.56,0.69314718056
?,male,980,0.700555215893,2,evening,18,5.3,1.09861228867
?,female,157,0.650990040533,8,early morning,57,5.04,0.69314718056
?,female,1204,0.742798007367,2,post_midnight,31,14.1,2.56494935746
?,female,2596,1.17630805717,12,post_midnight,98,22.14,2.19722457734
?,female,705,0.700824957404,3,evening,50,8.94,1.09861228867
20,male,499,0.517005648315,7,afternoon,36,1.36,0
?,male,969,0.719333540067,6,post_midnight,46,10.95,2.3978952728
?,male,870,0.602207365481,11,post_midnight,50,11.05,3.09104245336
18,female,939,0.559170828212,2,post_midnight,340,4.065,0
?,female,1276,0.534260908687,8,post_midnight,39,10.54,2.3978952728
20,male,876,0.724039141391,7,post_midnight,48,2.97,0
21,male,546,0.603439837151,11,afternoon,0,6.051,0.0
20,male,818,0.489388528139,4,evening,590,6.2,0.69314718056
21,male,686,0.647566202587,9,post_midnight,47,5.57,0
?,male,892,0.592401431768,9,post_midnight,23,17.05,1.09861228867
?,male,103,0.450025985036,10,night,170,1.769,0
20,male,433,0.74083744449,4,evening,89,2.37,0
20,male,748,0.61285545253,7,post_midnight,108,8.06,1.60943791243
?,male,201,0.645763157801,3,evening,188,1.419,0.0
?,female,861,0.580153651151,11,post_midnight,221,15.03,3.13549421593
20,male,363,0.573977939994,7,post_midnight,22,1.66,0.0
?,male,866,0.772062928287,8,post_midnight,363,3.98,0
21,female,1180,0.698231387954,2,evening,11,4.36,0.0
21,male,739,0.685922084484,12,early morning,193,4.566,0
?,male,1292,0.604894595224,9,post_midnight,8,4.41,1.09861228867
20,female,887,0.741869623873,12,night,143,2.753,1.38629436112
22,male,1327,0.521689516646,1,afternoon,38,13.4,0
21,male,771,0,12,morning,171,12.07,0.69314718056
?,female,None,0.54864025015,2,early morning,11,4.89,1.38629436112
21,female,484,0.741741356142,5,post_midnight,78,8.73,1.09861228867
21,female,979,0.767896395717,1,post_midnight,174,3.63,0
22,female,978,1.0,2,post_midnight,0,7.19,0.0
20,male,1069,0.50812826097,3,post_midnight,115,3.723,1.38629436112
?,male,1376,0.697887876643,4,morning,?,7.98,0
?,female,861,0.683528309925,8,evening,46,15.03,3.91202300543
22,female,978,0.703128758696,1,evening,49,7.19,1.38629436112
20,female,768,0,4,post_midnight,3195,3.432,2.7080502011
?,male,1482,1.52178188347,10,night,742,4.14,0.0
20,male,None,0,7,night,377,8.0,1.09861228867
?,male,515,0.639402434662,12,night,43,5.51,1.79175946923
?,male,252,0.505093773096,6,night,26,5.59,0.0
19,female,696,0.771649181299,6,post_midnight,8,2.232,0.0
?,male,1581,0.597610097306,1,evening,26,14.794,2.63905732962
?,male,640,0,3,post_midnight,3486,4.255,2.56494935746
20,male,822,0.454755582421,3,evening,353,9.98,1.79175946923
?,female,560,0.598569146479,3,evening,28,9.69,0.0
20,male,848,0.548884083403,12,evening,86,2.56,0.69314718056
?,male,1016,0.646478946296,3,afternoon,116,9.576,0
20,male,492,0.574696190204,8,post_midnight,46,6.18,1.94591014906
21,female,688,0.644405368143,9,evening,48,3.231,1.38629436112
26,male,None,0.792503415663,4,afternoon,1391,3.5,2.7080502011
?,female,624,0.577650661473,8,evening,18,2.33,1.38629436112
20,female,340,0.781110698931,5,post_midnight,122,2.81,0
19,female,696,0.81461038961,10,post_midnight,141,2.232,0.0
?,female,1748,0.648964108054,2,post_midnight,512,16.99,4.33073334029
20,female,1493,1.14097239357,3,post_midnight,52,5.46,0
?,male,2119,0.57020130654,10,post_midnight,69,3.37,0.0
20,male,420,0.519872807308,2,early morning,73,4.56,0.0
?,male,1581,0.642303268147,12,afternoon,142,14.794,2.48490664979
?,male,379,0.530111236296,6,post_midnight,78,4.32,1.38629436112
20,male,363,0.52757899262,8,post_midnight,113,1.66,0
?,male,1100,3.22467105263,1,afternoon,232,4.172,0.0
?,male,None,0.417838817458,8,afternoon,47,2.667,0
20,male,257,0.69116538921,10,morning,181,3.46,1.09861228867
?,female,1701,1.34938092288,9,evening,17,11.54,2.56494935746
?,male,None,1.04368817971,3,evening,91,3.636,0.69314718056
19,male,451,0.539211957606,12,post_midnight,171,3.66,0
?,female,2220,0.877703365351,8,afternoon,417,8.19,3.21887582487
?,male,1581,0.535494940327,10,post_midnight,0,14.794,0
22,male,1327,0.728973677066,1,afternoon,30,13.4,1.60943791243
20,male,876,0.65441606022,7,evening,17,2.97,0.69314718056
?,female,None,0.412937588349,8,afternoon,220,18.444,2.48490664979
?,male,515,0.623097469766,7,night,18,5.51,2.56494935746
?,male,909,0.47385745304,9,early morning,0,2.6,0
?,female,2071,0.587725185162,5,early morning,32,12.94,2.48490664979
21,male,645,0.70303030303,1,post_midnight,26,13.18,1.79175946923
?,male,640,0.512660019462,11,post_midnight,-14,4.255,0.0
?,male,629,0.505839212983,8,evening,5,3.13,0.0
?,female,824,0.657647698288,3,night,43,4.07,1.60943791243
21,male,686,0.430303030303,4,post_midnight,1608,5.57,1.09861228867
?,male,321,1.14097239357,4,early morning,244,1.49,1.09861228867
46,male,541,0.548471442405,2,evening,303,3.835,2.3978952728
23,female,725,0.841546097469,9,post_midnight,36,7.43,2.8903717579
?,male,257,0.42841454153,4,post_midnight,317,1.508,0.69314718056
29,male,1177,0.978178374551,2,evening,108,15.663,1.09861228867
?,female,1171,0.411206528378,2,evening,14,9.99,0.69314718056
19,male,451,0.427180517992,11,afternoon,46,3.66,1.38629436112
?,male,1903,0,7,evening,400,4.263,0
21,female,289,0.727920614177,12,post_midnight,609,1.546,0
23,male,679,0.704709186958,12,post_midnight,55,5.61,2.07944154168
