@relation validation

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' numeric
@attribute 'hour' numeric
@attribute 'time_since_last' numeric
@attribute 'likes' numeric 

@data
?,male,?,0.726917078021,10,22,1819512,3
28,female,646,1.80526659952,10,0,441895,39
28,female,646,0.86775965106,7,3,1820802,27
28,female,646,1.04824176822,5,1,168452,4
28,female,646,0.901783176899,4,20,577046,18
28,female,646,2.06802325936,4,20,235795,64
28,female,646,0.668791766639,3,1,86493,4
28,female,646,0.858835339329,3,3,343589,6
28,female,646,1.1839491286,3,16,406276,45
28,female,646,0.873341279863,2,21,163600,5
28,female,646,0.717006802721,1,23,782980,6
28,female,646,0.484525713825,1,23,607943,4
28,female,646,0.902508655504,12,23,104089,6
28,female,646,1.31236576645,12,23,120439,8
28,female,646,1.62388818837,12,22,1486244,20
28,female,646,3.31947073981,11,12,543673,42
28,female,646,0.57912496677,10,11,1158940,1
28,female,646,1.09901740567,10,22,156222,10
28,female,646,0.854301072297,10,5,38614,7
28,female,646,3.46670709398,9,21,1802829,35
28,female,646,0.89210668888,8,21,347734,18
28,female,646,0.672863424952,8,19,1873272,11
28,female,646,0.585367223912,7,2,1002,0
28,female,646,0.655244012113,7,23,383362,3
28,female,646,0.677013537893,6,18,83227,4
28,female,646,0.741083548468,6,22,165196,1
28,female,646,0.698198343368,6,18,750788,4
28,female,646,0.624591457868,5,19,781996,5
28,female,646,0.753463092763,4,1,861152,3
28,female,646,0.333333333333,3,23,595373,1
28,female,646,0.676400863613,3,0,693807,2
28,female,646,0.651390901527,2,1,634305,3
28,female,646,0.821163726984,1,3,178961,2
28,female,646,0.632818029459,12,19,344117,0
26,male,504,0.628530646071,1,22,3832999,1
26,male,504,0.683672352874,8,11,5476684,7
26,male,504,0.392399171549,5,11,29924,1
26,male,504,0.268794941521,4,11,2457319,2
26,male,504,0.663443392615,3,2,1130132,5
26,male,504,0.436577378291,1,18,398429,2
26,male,504,0.508581759333,1,1,1936201,2
26,male,504,0.478107148342,12,4,2907385,5
26,male,504,0.574657085885,10,3,1212298,4
26,male,504,0.919942616284,9,1,1393572,5
26,male,504,0.161732771812,8,23,629503,0
26,male,504,1.05574593061,8,17,50176,12
26,male,504,0.970911651895,7,4,1912347,3
26,male,504,0.787542183367,6,2,947681,4
26,male,504,1.96864756433,5,15,414061,10
26,male,504,0.410286823487,5,18,163807,0
26,male,504,0.751033789794,4,17,390508,0
26,male,504,0.5,4,2,446523,2
26,male,504,0.79812164009,3,3,4863,3
26,male,504,0.484607630407,3,3,349706,0
26,male,504,0.758337561149,2,16,48724,4
26,male,504,0.481298922733,2,1,511672,0
26,male,504,0.593687624367,1,23,82001,1
26,male,504,1.13642536495,1,2,4184,9
26,male,504,0.635565577137,1,13,306451,0
26,male,504,0.863499964809,12,20,143772,13
26,male,504,0.763999716894,12,1,333338,1
26,male,504,1.19390791788,12,4,196034,5
26,male,504,0.61397772029,12,0,85856,1
26,male,504,0.708638312215,12,22,69151,1
26,male,504,0.466897559106,11,14,336886,1
26,male,504,0.568934173472,11,1,346158,0
26,male,504,0.436897701658,11,2,618772,0
26,male,467,4.0,12,7,2290164,4
26,male,467,0.616078064606,12,14,40752358,0
26,male,467,0.660162564719,1,23,1611561,1
