@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute 'time_of_day' {early_morning,morning,noon,afternoon,evening,night,post_midnight}
@attribute 'time_since_last' numeric
@attribute 'average_user_likes' numeric
@attribute 'likes' numeric 

@data
?,male,1235,0.817846942753,5,night,694,8.02,0
?,female,687,0,11,afternoon,1359,2.612,2.30258509299
?,female,1271,0.443309944343,5,evening,116,6.263,0.0
23,female,487,0.746283804484,7,post_midnight,344,5.38,0
?,female,924,0.709363485053,11,afternoon,541,7.629,1.38629436112
22,male,1327,0.536719139869,3,early_morning,15,13.47,2.83321334406
20,male,305,0.596645223361,11,early_morning,105,2.5,1.38629436112
?,male,1350,0.733044790645,10,post_midnight,1,5.382,0.0
?,female,715,0.881293726675,2,night,44,2.352,0
?,male,577,2.89775910364,2,early_morning,1,1.571,0.0
?,male,753,0.680244239545,8,post_midnight,78,2.47,0
19,female,782,0.897899547799,2,night,22,9.44,1.79175946923
?,male,769,0.424917322333,3,post_midnight,69,7.73,1.38629436112
?,female,733,0.923461066977,11,afternoon,113,7.18,2.7080502011
?,?,801,0,3,evening,1,5.53,0
20,female,681,0.630693162548,1,early_morning,133,7.384,1.60943791243
?,female,?,0.760346298489,12,night,41,5.223,1.09861228867
?,female,656,0.700327900585,5,evening,90,9.78,2.07944154168
?,male,1287,0.82177621761,5,early_morning,75,16.879,1.09861228867
21,female,958,0,3,early_morning,100,7.735,0.0
?,female,347,0.726411588734,5,early_morning,12,2.51,0
?,male,?,0.402454217348,3,night,43,3.121,0
22,female,634,0.674442899231,11,night,26,6.364,2.30258509299
?,female,953,1.00708096817,10,post_midnight,144,16.242,3.21887582487
?,female,766,1.63691092703,2,afternoon,620,11.531,3.13549421593
21,male,739,0.879895614428,3,afternoon,834,4.596,0
?,male,720,0.784521590486,7,post_midnight,3242,6.5,2.83321334406
?,female,289,0.466666666667,11,post_midnight,73,3.091,0.0
?,male,1012,0.60547515006,4,evening,215,4.091,2.19722457734
22,female,1359,0.723438604811,5,afternoon,27,24.316,1.79175946923
29,male,1177,0.493590657172,3,post_midnight,121,15.663,1.94591014906
?,male,1063,0.853056649724,11,evening,117,3.262,0.0
?,female,1236,0.817319777233,3,early_morning,191,17.14,0.0
23,female,818,3.4,3,early_morning,251,8.73,1.79175946923
?,male,1078,0.856728436191,12,evening,17,8.83,1.94591014906
21,female,1175,0.87900925159,7,early_morning,19,9.235,0.0
20,male,866,0.750360310905,6,afternoon,153,5.031,0.69314718056
?,female,642,0.58208371625,12,early_morning,74,10.39,0
?,male,999,1.08666446913,9,post_midnight,23,3.919,0
29,male,1177,0.862140217449,5,night,42,15.663,2.56494935746
?,female,996,1.03014276272,10,evening,239,6.644,0
?,female,1138,0.774781698603,5,post_midnight,22,8.582,0.69314718056
?,male,158,0,8,morning,107,3.337,0.0
19,female,2595,0.895210049543,7,early_morning,236,8.69,2.19722457734
21,female,1473,1.05172130851,1,post_midnight,94,16.56,3.66356164613
