@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' numeric
@attribute 'hour' numeric
@attribute 'time_since_last' numeric
@attribute 'likes' numeric 

@data
26,male,504,0.614895544989,10,4,?,1
26,male,467,0.550550916742,2,4,6644357,3
26,male,467,0.648845840522,5,21,13415865,4
26,male,467,0.52696953258,2,16,3519674,1
26,male,467,0.554962530994,12,3,7075395,0
26,male,467,0.0,6,21,7238284,0
26,male,467,0.375255102041,2,2,188769,1
26,male,467,0.220507061904,1,4,107767,0
26,male,467,0.419684332288,1,4,530089,1
26,male,467,0.2,12,20,369452,1
26,male,467,0.408583547391,10,8,1498213,0
26,male,467,0.434249546594,9,15,121737,0
26,male,467,0.615037131791,8,6,1417164,0
26,male,467,0.572412285628,7,14,208004,0
26,male,467,0.475212468728,6,5,179161,0
?,male,1169,0.921058218887,1,4,2321031,11
?,male,1169,0.712013274312,12,3,641302,5
?,male,1169,1.16624686988,9,4,170846,11
?,male,1169,0.73046599899,8,3,984122,12
?,male,1169,0.811894449291,6,5,731674,5
?,male,1169,1.07610100009,5,3,525455,22
?,male,1169,0.843899901944,4,12,300072,13
?,male,1169,0.459583014334,4,11,1181246,2
?,male,1169,9.0,2,3,1920043,9
?,male,1169,0,1,21,83,2
?,male,1169,0,1,8,505,16
?,male,1169,24.0,1,7,473814,24
?,male,1169,0,1,20,183538,6
?,male,1169,0.497864524988,1,22,501682,3
?,male,1169,0.844526145447,1,7,920046,10
?,male,1169,0.771131118692,11,8,4156095,5
?,male,1169,1.02297212031,9,15,187853,8
?,male,1169,0.0,8,21,3437563,0
?,male,1169,1.72916666667,6,5,1781871,6
?,male,1169,1.5,6,11,1211162,3
?,male,1169,0.704367713798,4,22,1747529,1
?,male,1169,0.574338230606,3,1,188352,1
?,male,1169,0.231318816039,2,4,1334427,0
?,male,1169,0.772366145652,1,1,935817,12
?,male,1169,0.7419130848,12,23,515762,1
?,male,1169,0.306165551081,12,1,764857,0
?,male,1169,1.53263304102,11,4,306870,3
?,male,1169,0.478835512238,11,1,654869,0
?,male,1169,0.235114394075,9,11,28098,0
?,male,1169,0.819403594634,9,19,86005,5
?,male,1169,0.574885069607,9,3,84523,1
?,male,1169,0.768640216112,9,22,6226,3
?,male,1169,0.699714013952,9,2,140172,1
?,female,645,0.64880647712,11,19,1913002,4
?,female,645,0.561125231981,8,21,5346214,2
?,female,645,0.129809775706,3,5,462442,0
?,female,645,1.1333587436,1,4,1895873,1
?,female,645,1.08762542886,11,3,1831819,0
?,female,645,0.574277503865,10,14,1698931,0
?,female,645,0.544934174469,8,23,841088,1
?,female,645,0.340909090909,7,17,767313,1
28,male,347,0.719513417175,9,0,94936,6
28,male,347,1.23520110516,2,1,24732170,7
28,male,347,0.437230158544,4,4,98886,1
28,male,347,0.425083712757,4,3,?,0
?,male,1464,2.78886078552,1,0,949708,36
?,male,1464,0.711036459446,12,13,665701,8
?,male,1464,0.790066034884,12,2,5443,7
?,male,1464,0.802747815243,11,18,88357,8
?,male,1464,0.503691962508,11,23,610417,5
?,male,1464,0.58909392037,9,20,338860,9
?,male,1464,0.38073979785,9,19,180450,1
?,male,1464,0.601881917388,8,18,604413,4
?,male,1464,0.794285589152,7,15,261699,7
?,male,1464,0.516627999437,6,11,1026720,1
?,male,1464,0.788389953289,6,3,1254270,7
?,male,1464,0.401248355763,4,16,50347,0
?,male,1464,0.729704896303,12,22,4044508,15
?,male,1464,0.614425371245,10,1,427956,5
?,male,1464,0.487201044498,9,2,1781,2
?,male,1464,0.612915159706,9,23,83418,4
?,male,1464,0.676744272665,3,3,39608,3
?,male,1464,0.591030613601,3,0,432045,0
?,male,1464,1.29748198499,2,0,74021,4
?,male,1464,0.585469402304,1,3,188506,1
?,male,1464,0.773323566024,1,3,172272,0
?,male,1464,0.695958311746,1,2,248722,4
?,male,1464,0.439256743406,1,0,79392,2
?,male,1464,0.599831633285,1,3,869160,0
?,male,1464,0.609972180606,12,0,420557,2
?,male,1464,0.820397230704,11,0,6808,0
?,male,1464,1.45454545455,11,21,404016,3
